Workload                  	Metric                   	  Count	      %	 AvgChange
403.gcc-17B.csv           	l2c_useless_prefetch     	   3163	   9.68	      2.98
403.gcc-17B.csv           	llc_useless_prefetch     	  12673	  38.79	     15.02
403.gcc-17B.csv           	l1d_useful_prefetch_hit  	   4130	  12.64	      1.48
403.gcc-17B.csv           	l2c_useful_prefetch_hit  	   3401	  10.41	      2.21
403.gcc-17B.csv           	llc_useful_prefetch_hit  	  12662	  38.76	     11.00
403.gcc-48B.csv           	l1d_mshr_pf_hit          	     52	   2.21	      1.37
403.gcc-48B.csv           	l2c_mshr_pf_hit          	      0	   0.00	      0.00
403.gcc-48B.csv           	llc_mshr_pf_hit          	     13	   0.55	      1.00
403.gcc-48B.csv           	l1d_useless_prefetch     	    459	  19.47	      3.77
403.gcc-48B.csv           	l2c_useless_prefetch     	      1	   0.04	      1.00
403.gcc-48B.csv           	llc_useless_prefetch     	    954	  40.48	      5.72
403.gcc-48B.csv           	l1d_useful_prefetch_hit  	     78	   3.31	      2.19
403.gcc-48B.csv           	l2c_useful_prefetch_hit  	      1	   0.04	      1.00
403.gcc-48B.csv           	llc_useful_prefetch_hit  	    388	  16.46	      6.05
410.bwaves-1963B.csv      	l1d_mshr_pf_hit          	  12464	  38.07	      2.51
410.bwaves-1963B.csv      	l2c_mshr_pf_hit          	  11615	  35.48	      2.09
410.bwaves-1963B.csv      	llc_mshr_pf_hit          	    654	   2.00	      1.05
410.bwaves-1963B.csv      	l1d_useless_prefetch     	   7523	  22.98	      1.46
410.bwaves-1963B.csv      	l2c_useless_prefetch     	  12761	  38.98	      2.40
410.bwaves-1963B.csv      	llc_useless_prefetch     	   4607	  14.07	      4.23
410.bwaves-1963B.csv      	l1d_useful_prefetch_hit  	   9243	  28.23	      2.60
410.bwaves-1963B.csv      	l2c_useful_prefetch_hit  	  14741	  45.03	      4.01
410.bwaves-1963B.csv      	llc_useful_prefetch_hit  	  14970	  45.73	     12.65
410.bwaves-2097B.csv      	l1d_mshr_pf_hit          	  14863	  45.40	      4.31
410.bwaves-2097B.csv      	l2c_mshr_pf_hit          	  13049	  39.86	      2.31
410.bwaves-2097B.csv      	llc_mshr_pf_hit          	    593	   1.81	      1.04
410.bwaves-2097B.csv      	l1d_useless_prefetch     	   6016	  18.38	      1.23
410.bwaves-2097B.csv      	l2c_useless_prefetch     	  13034	  39.82	      2.32
410.bwaves-2097B.csv      	llc_useless_prefetch     	   4154	  12.69	      4.09
410.bwaves-2097B.csv      	l1d_useful_prefetch_hit  	  10996	  33.59	      2.79
410.bwaves-2097B.csv      	l2c_useful_prefetch_hit  	  15858	  48.44	      4.23
410.bwaves-2097B.csv      	llc_useful_prefetch_hit  	  15257	  46.61	     12.64
410.bwaves-945B.csv       	l1d_mshr_pf_hit          	      0	   0.00	      0.00
410.bwaves-945B.csv       	l2c_mshr_pf_hit          	      1	   2.38	      1.00
410.bwaves-945B.csv       	llc_mshr_pf_hit          	      0	   0.00	      0.00
410.bwaves-945B.csv       	l1d_useless_prefetch     	      0	   0.00	      0.00
410.bwaves-945B.csv       	l2c_useless_prefetch     	      0	   0.00	      0.00
410.bwaves-945B.csv       	llc_useless_prefetch     	      0	   0.00	      0.00
410.bwaves-945B.csv       	l1d_useful_prefetch_hit  	      0	   0.00	      0.00
410.bwaves-945B.csv       	l2c_useful_prefetch_hit  	      4	   9.52	      1.50
410.bwaves-945B.csv       	llc_useful_prefetch_hit  	      2	   4.76	      7.50
416.gamess-875B.csv       	l1d_mshr_pf_hit          	      6	   3.47	      1.17
416.gamess-875B.csv       	l2c_mshr_pf_hit          	      0	   0.00	      0.00
416.gamess-875B.csv       	llc_mshr_pf_hit          	      2	   1.16	      1.50
416.gamess-875B.csv       	l1d_useless_prefetch     	     51	  29.48	     19.00
416.gamess-875B.csv       	l2c_useless_prefetch     	      0	   0.00	      0.00
416.gamess-875B.csv       	llc_useless_prefetch     	      0	   0.00	      0.00
416.gamess-875B.csv       	l1d_useful_prefetch_hit  	     16	   9.25	     10.50
416.gamess-875B.csv       	l2c_useful_prefetch_hit  	      1	   0.58	      1.00
416.gamess-875B.csv       	llc_useful_prefetch_hit  	     35	  20.23	      3.06
429.mcf-184B.csv          	l1d_mshr_pf_hit          	    646	   0.73	      7.74
429.mcf-184B.csv          	l2c_mshr_pf_hit          	      9	   0.01	      1.67
429.mcf-184B.csv          	llc_mshr_pf_hit          	    635	   0.72	      3.78
429.mcf-184B.csv          	l1d_useless_prefetch     	  42956	  48.75	      3.90
429.mcf-184B.csv          	l2c_useless_prefetch     	   7469	   8.48	      1.63
429.mcf-184B.csv          	llc_useless_prefetch     	  41414	  47.00	     19.43
429.mcf-184B.csv          	l1d_useful_prefetch_hit  	    753	   0.85	      7.52
429.mcf-184B.csv          	l2c_useful_prefetch_hit  	   2731	   3.10	      1.48
429.mcf-184B.csv          	llc_useful_prefetch_hit  	  23892	  27.11	     11.65
429.mcf-192B.csv          	l1d_mshr_pf_hit          	    320	   0.28	      1.63
429.mcf-192B.csv          	l2c_mshr_pf_hit          	      2	   0.00	      1.00
429.mcf-192B.csv          	llc_mshr_pf_hit          	    268	   0.23	      1.43
429.mcf-192B.csv          	l1d_useless_prefetch     	  54202	  47.10	      3.67
429.mcf-192B.csv          	l2c_useless_prefetch     	  12860	  11.18	      1.42
429.mcf-192B.csv          	llc_useless_prefetch     	  51055	  44.37	     10.88
429.mcf-192B.csv          	l1d_useful_prefetch_hit  	    445	   0.39	      2.00
429.mcf-192B.csv          	l2c_useful_prefetch_hit  	   4655	   4.05	      1.19
429.mcf-192B.csv          	llc_useful_prefetch_hit  	  30126	  26.18	     12.90
429.mcf-217B.csv          	l1d_mshr_pf_hit          	   1278	  12.27	     36.63
429.mcf-217B.csv          	l2c_mshr_pf_hit          	    733	   7.04	     17.21
429.mcf-217B.csv          	llc_mshr_pf_hit          	   1477	  14.18	     10.70
429.mcf-217B.csv          	l1d_useless_prefetch     	   3682	  35.35	      6.65
429.mcf-217B.csv          	l2c_useless_prefetch     	   3430	  32.93	      8.21
429.mcf-217B.csv          	llc_useless_prefetch     	   3171	  30.45	     21.99
429.mcf-217B.csv          	l1d_useful_prefetch_hit  	   2310	  22.18	     14.67
429.mcf-217B.csv          	l2c_useful_prefetch_hit  	   2772	  26.62	     19.44
429.mcf-217B.csv          	llc_useful_prefetch_hit  	   3968	  38.10	     83.45
429.mcf-22B.csv           	l1d_mshr_pf_hit          	    969	   0.50	     10.39
429.mcf-22B.csv           	l2c_mshr_pf_hit          	   2903	   1.51	      2.36
429.mcf-22B.csv           	llc_mshr_pf_hit          	   2340	   1.22	      1.61
429.mcf-22B.csv           	l1d_useless_prefetch     	  40091	  20.86	      1.56
429.mcf-22B.csv           	l2c_useless_prefetch     	  18517	   9.64	      1.66
429.mcf-22B.csv           	llc_useless_prefetch     	  85614	  44.55	      6.01
429.mcf-22B.csv           	l1d_useful_prefetch_hit  	   3175	   1.65	      3.68
429.mcf-22B.csv           	l2c_useful_prefetch_hit  	   3532	   1.84	      4.26
429.mcf-22B.csv           	llc_useful_prefetch_hit  	  15984	   8.32	      9.61
429.mcf-51B.csv           	l1d_mshr_pf_hit          	    701	   1.42	      6.86
429.mcf-51B.csv           	l2c_mshr_pf_hit          	     15	   0.03	      1.40
429.mcf-51B.csv           	llc_mshr_pf_hit          	    682	   1.38	      4.53
429.mcf-51B.csv           	l1d_useless_prefetch     	  23021	  46.64	      4.72
